rhino_id,inst_id,species,sex,age,birth_type,housing,train,train_period,train_week,train_time,trainers_beh,beh_number_daily,managed_w_others,social_incomp,PC1,PC2,PC3,PC4,active,calm,investigative,sleep,stereotypies,assertive,chemosensory,con_af,con_ag,con_ff,food_ag,no_obj,pre_obj,social,vocal,fam_af,fam_ag,fam_ff,responsive,stranger_af,stranger_ag,stranger_ff
14662354,Inst-6,Black,Female,12,Captive,Social,Yes,>5 yrs,2.5,15-Jan,2-Jan,10-May,Yes,Yes,0.780821241,-1.303728769,1.353148912,-0.705988692,5,8,5.05,6.05,0,5.75,2.05,5.5,0.5,0,3.05,1.5,3.05,4.5,0.5,8.1,0.75,0,7.5,6.85,0,0
19990829,Inst-18,Black,Male,22,Captive,Individual,Yes,1-3 yrs,2,15-Jan,4-Mar,10-May,No,,1.732969695,-0.337193307,-0.655003597,-0.799465488,5.6,8,8,5.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.25,1,0.5,9.5,8,1,1
21370588,Inst-26,White,Male,3,Captive,Social,Yes,3-5 yrs,7,15-Jan,2-Jan,<5,Yes,No,-1.402723945,2.211644249,0.859039319,-0.039248345,9,6.5,9,4,1,8,4,9,4.5,3,3,3,3,8.5,5,8,2,1,8,7,1,2
14662486,Inst-52,White,Male,32,Wild,Individual,Yes,<6 mo,3,16-30,2-Jan,<5,No,,1.080345157,-0.038135568,1.034658895,0.167275602,5,8,9.5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0.5,7.5,8,0,0.5
20563577,Inst-3,White,Female,37,Wild,Social,Yes,>5 yrs,3,16-30,2-Jan,10-May,Yes,No,1.447465729,-0.00998781,-0.033377246,-0.58544699,7,8,5,5,0,3.5,2.4,8,2.9,1,1,0.1,0.1,6.8,1.25,9.5,0.5,0.1,9,9,0.3,0.1
19024655,Inst-50,Black,Female,24,Captive,Social,Yes,1-3 yrs,1,15-Jan,2-Jan,10-May,Yes,,2.147764648,-1.298715578,0.532327158,0.414881659,5,7,6,5,0.75,2,8,9,0,1,0.5,0,0,6,0.5,10,0,0,8.5,9,0.1,0.5
19990826,Inst-26,White,Female,23,Captive,Social,Yes,>5 yrs,7,15-Jan,2-Jan,<5,Yes,No,-1.774539996,0.242077599,0.263001405,0.039471186,7,7,6,5,1,8.5,5,5,5,2,4,5,4,4,5,8,1.5,1,8,6,1.5,2
22742480,Inst-26,White,Female,7,Captive,Social,Yes,>5 yrs,7,15-Jan,2-Jan,<5,Yes,No,-0.24832929,0.972965465,0.938190975,0.144373413,8,8,8,5,1,8,4.5,8,3,3,4,2,2,7,2,8.5,1,1,8,8.5,1,1
19990805,Inst-18,Black,Male,21,Captive,Individual,Yes,1-3 yrs,2,15-Jan,4-Mar,10-May,No,,-6.432463976,-0.408424105,1.607251878,0.518736041,5.5,2,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.8,4,7,1,2.5,9
24424800,Inst-33,White,Female,4,Captive,Social,Yes,1-3 yrs,1,16-30,2-Jan,<5,Yes,No,1.093421984,1.71237863,-1.904236495,-0.410701753,8.6,2,5,4,0,2,5,8,3,3,2,2.4,2.3,9.8,8.7,10,0.1,0.1,8.8,9,0.1,0.5
